capture_id,hand_index,handedness,gesture,landmark_idx,x_norm,y_norm,z_norm,x_pixel,y_pixel,depth_meters,x_meters,y_meters,z_meters
1,0,Right,OPEN HAND THUMB UP,18,0.4686470031738281,1.026799201965332,0.021640805527567863,299,479,0.3160000145435333,-0.017320839688181877,0.19566982984542847,0.3160000145435333
1,0,Right,OPEN HAND THUMB UP,19,0.4297100305557251,1.0591063499450684,0.000755847548134625,275,479,0.3150000274181366,-0.036823611706495285,0.19505062699317932,0.3150000274181366
1,0,Right,OPEN HAND THUMB UP,20,0.3969123363494873,1.0846582651138306,-0.016625771299004555,254,479,0.30100002884864807,-0.05153932049870491,0.18638171255588531,0.30100002884864807
2,0,Right,OPEN HAND THUMB UP,0,0.5791544318199158,0.7647804021835327,2.348685796960126e-07,370,367,0.581000030040741,0.07486936450004578,0.19141994416713715,0.581000030040741
2,0,Right,OPEN HAND THUMB UP,1,0.5549380779266357,0.7047380805015564,-0.022435953840613365,355,338,0.5760000348091125,0.051873527467250824,0.1465596705675125,0.5760000348091125
2,0,Right,OPEN HAND THUMB UP,2,0.5168256163597107,0.6731399893760681,-0.027837496250867844,330,323,0.5720000267028809,0.01451945025473833,0.12334557622671127,0.5720000267028809
2,0,Right,OPEN HAND THUMB UP,3,0.4795825481414795,0.6565734148025513,-0.03158053010702133,306,315,0.5640000104904175,-0.020701006054878235,0.10994800180196762,0.5640000104904175
2,0,Right,OPEN HAND THUMB UP,4,0.4528159499168396,0.6395262479782104,-0.0351385660469532,289,306,0.5640000104904175,-0.045504987239837646,0.09681648015975952,0.5640000104904175
2,0,Right,OPEN HAND THUMB UP,5,0.45875027775764465,0.7172843813896179,-0.007907525636255741,293,344,0.5860000252723694,-0.04121612012386322,0.15819993615150452,0.5860000252723694
2,0,Right,OPEN HAND THUMB UP,6,0.40951257944107056,0.7064559459686279,-0.016870256513357162,262,339,0.5890000462532043,-0.08866283297538757,0.1513911783695221,0.5890000462532043
2,0,Right,OPEN HAND THUMB UP,7,0.3785804510116577,0.705498993396759,-0.027117155492305756,242,338,0.5879999995231628,-0.11893519759178162,0.14961299300193787,0.5879999995231628
2,0,Right,OPEN HAND THUMB UP,8,0.3515664339065552,0.7087879180908203,-0.03589138388633728,225,340,0.5870000123977661,-0.1445484161376953,0.15239565074443817,0.5870000123977661
2,0,Right,OPEN HAND THUMB UP,9,0.45260387659072876,0.7583335041999817,-0.005348037928342819,289,364,0.5879999995231628,-0.04744136705994606,0.18916276097297668,0.5879999995231628
2,0,Right,OPEN HAND THUMB UP,10,0.3997565507888794,0.7644075751304626,-0.014632055535912514,255,366,0.5870000123977661,-0.09899167716503143,0.19187818467617035,0.5870000123977661
2,0,Right,OPEN HAND THUMB UP,11,0.36796998977661133,0.7737001180648804,-0.02720682881772518,235,371,0.593000054359436,-0.13068512082099915,0.20150986313819885,0.593000054359436
2,0,Right,OPEN HAND THUMB UP,12,0.3425041735172272,0.7855023741722107,-0.03686317428946495,219,377,0.593000054359436,-0.15523040294647217,0.21071434020996094,0.593000054359436
2,0,Right,OPEN HAND THUMB UP,13,0.45834267139434814,0.7979283928871155,-0.005907833576202393,293,383,0.5830000042915344,-0.04100511595606804,0.2162102460861206,0.5830000042915344
2,0,Right,OPEN HAND THUMB UP,14,0.4088492691516876,0.8134618997573853,-0.018475940451025963,261,390,0.5990000367164612,-0.09171774238348007,0.23299117386341095,0.5990000367164612
2,0,Right,OPEN HAND THUMB UP,15,0.38145655393600464,0.8270906209945679,-0.03018968738615513,244,397,0.5940000414848328,-0.11707549542188644,0.24180302023887634,0.5940000414848328
2,0,Right,OPEN HAND THUMB UP,16,0.359396755695343,0.8402612209320068,-0.037803687155246735,230,403,0.5910000205039978,-0.13788889348506927,0.24975523352622986,0.5910000205039978
2,0,Right,OPEN HAND THUMB UP,17,0.4743633270263672,0.83408522605896,-0.008499923162162304,303,400,0.5870000123977661,-0.026100872084498405,0.2435091733932495,0.5870000123977661
2,0,Right,OPEN HAND THUMB UP,18,0.43874838948249817,0.8565767407417297,-0.02175068110227585,280,411,0.5990000367164612,-0.06227530166506767,0.26553282141685486,0.5990000367164612
2,0,Right,OPEN HAND THUMB UP,19,0.41783633828163147,0.8723523020744324,-0.029483573511242867,267,418,0.6000000238418579,-0.08255772292613983,0.2768414318561554,0.6000000238418579
2,0,Right,OPEN HAND THUMB UP,20,0.39984795451164246,0.8849153518676758,-0.0338890366256237,255,424,0.6010000109672546,-0.10135263204574585,0.2866314947605133,0.6010000109672546
3,0,Right,OPEN HAND THUMB UP,0,0.5610629916191101,0.7424437403678894,1.2913491787003295e-07,359,356,0.8800000548362732,0.08835739642381668,0.2648884057998657,0.8800000548362732
